HCPCS Code,Short Description,HCPCS Code Dosage,Payment Limit,Co-insurance Percentage,Vaccine AWP%,Vaccine Limit,Blood AWP%,Blood limit,Clotting Factor,Notes,dosage_value,dosage_unit
J1596,"Inj, glycopyrrolate, 0.1 mg",0.1 MG,0.375,20.0,,,,,,,0.1,MG
J1597,"Inj glycopyrrolate, glyrx-pf",0.1 MG,1.276,20.0,,,,,,Added January 2026,0.1,MG
J1598,Inj glycopyrrolate fres kabi,0.1 MG,1.342,20.0,,,,,,,0.1,MG
J1602,Golimumab for iv use 1mg,1 MG,11.631,20.0,,,,,,,1.0,MG
J1610,Glucagon hydrochloride/1 mg,1 MG,164.863,20.0,,,,,,,1.0,MG
J1611,"Inj glucagon hcl, fresenius",1 MG,143.254,20.0,,,,,,,1.0,MG
J1626,Granisetron hcl injection,100 MCG,0.146,20.0,,,,,,,100.0,MCG
J1627,"Inj, granisetron, xr, 0.1 mg",0.1 MG,4.298,20.0,,,,,,,1.0,ML
J1628,"Inj., guselkumab, 1 mg",1 MG,72.937,20.0,,,,,,,1.0,MG
J1630,Haloperidol injection,5 MG,0.73,20.0,,,,,,,5.0,MG
J1631,Haloperidol decanoate inj,50 MG,3.939,20.0,,,,,,,50.0,MG
J1640,"Hemin, 1 mg",1 MG,35.309,18.498,,,,,,Inflation-adjusted coinsurance,1.0,MG
J1642,Inj heparin sodium per 10 u,10 UNITS,0.018,20.0,,,,,,,10.0,UNITS
J1643,"Inj heparin, pfizer, 1000u",1000 UNITS,2.101,20.0,,,,,,,1.0,ML
J1644,Inj heparin sodium per 1000u,1000 UNITS,0.179,20.0,,,,,,,1000.0,UNITS
J1645,Dalteparin sodium,2500 IU,14.904,14.304,,,,,,Inflation-adjusted coinsurance,2500.0,IU
J1650,Inj enoxaparin sodium,10 MG,0.533,20.0,,,,,,,10.0,MG
J1652,Fondaparinux sodium,0.5 MG,0.877,20.0,,,,,,,0.5,MG
J1670,Tetanus immune globulin inj,250 UNITS,588.54,20.0,,,,,,,250.0,UNITS
J1720,Hydrocortisone sodium succ i,100 MG,22.061,20.0,,,,,,,100.0,MG
J1740,Ibandronate sodium injection,1 MG,13.142,20.0,,,,,,,1.0,MG
J1741,Ibuprofen injection,100 MG,3.183,19.33,,,,,,Inflation-adjusted coinsurance,100.0,MG
J1743,Idursulfase injection,1 MG,558.102,20.0,,,,,,,1.0,MG
