HCPCS Code,Short Description,HCPCS Code Dosage,Payment Limit,Co-insurance Percentage,Vaccine AWP%,Vaccine Limit,Blood AWP%,Blood limit,Clotting Factor,Notes,dosage_value,dosage_unit
J9260,Inj methotrexate sodium 50mg,50 MG,2.579,20.0,,,,,,,50.0,MG
J9261,Nelarabine injection,50 MG,65.16,20.0,,,,,,,50.0,MG
J9263,Oxaliplatin,0.5 MG,0.047,20.0,,,,,,AMP-based payment limit,0.5,MG
J9264,Paclitaxel protein bound,1 MG,8.184,20.0,,,,,,,1.0,MG
J9266,Pegaspargase injection,1 EA,28424.059,18.721,,,,,,Inflation-adjusted coinsurance,,NAN
J9267,Paclitaxel injection,1 MG,0.099,20.0,,,,,,,1.0,MG
J9268,Pentostatin injection,10 MG,2537.096,19.188,,,,,,Inflation-adjusted coinsurance,10.0,MG
J9269,Inj. tagraxofusp-erzs 10 mcg,10 MCG,357.024,19.648,,,,,,Inflation-adjusted coinsurance,10.0,MCG
J9271,Inj pembrolizumab,1 MG,59.726,20.0,,,,,,,1.0,MG
J9272,"Inj, dostarlimab-gxly, 10 mg",10 MG,247.437,20.0,,,,,,,10.0,MG
J9273,"Inj tisotu vedotin-tftv, 1mg",1 MG,196.068,18.58,,,,,,Inflation-adjusted coinsurance,1.0,MG
J9274,"Inj, tebentafusp-tebn, 1 mcg",1 MCG,222.21,19.999,,,,,,Inflation-adjusted coinsurance,1.0,MCG
J9276,"Inj zanidatamab-hrii, 2 mg",2 MG,24.998,20.0,,,,,,,2.0,MG
J9280,Mitomycin injection,5 MG,26.104,20.0,,,,,,,5.0,MG
J9281,Mitomycin instillation,1 MG,323.905,20.0,,,,,,,1.0,MG
J9286,"Inj glofitamab gxbm, 2.5 mg",2.5 MG,2843.588,20.0,,,,,,,2.5,MG
J9289,Inj nivolumab 2 mg hyaluron,2 MG,27.801,20.0,,,,,,,2.0,MG
J9292,"Inj, pemetrexed dipotassium",10 MG,81.232,20.0,,,,,,,10.0,MG
J9293,Mitoxantrone hydrochl / 5 mg,5 MG,30.877,20.0,,,,,,,1.0,ML
J9294,"Inj pemetrexed, hospira 10mg",10 MG,4.19,20.0,,,,,,,10.0,MG
J9295,"Injection, necitumumab, 1 mg",1 MG,5.731,20.0,,,,,,,1.0,MG
J9296,Inj pemetrexed (accord) 10mg,10 mg,9.736,20.0,,,,,,,10.0,MG
J9297,Inj pemetrexed (sandoz) 10mg,10 MG,1.488,18.408,,,,,,Inflation-adjusted coinsurance,10.0,MG
J9298,Inj nivol relatlimab 3mg/1mg,3 mg/1 mg,201.654,20.0,,,,,,,3.0,MG
J9299,"Injection, nivolumab",1 MG,33.573,20.0,,,,,,,1.0,MG
J9301,Obinutuzumab inj,10 MG,81.625,19.492,,,,,,Inflation-adjusted coinsurance,10.0,MG
J9303,Panitumumab injection,10 MG,173.673,18.287,,,,,,Inflation-adjusted coinsurance,10.0,MG
J9304,"Inj. pemetrexed, 10 mg",10 MG,39.934,20.0,,,,,,,10.0,MG
J9305,Inj. pemetrexed nos 10mg,10 MG,3.594,20.0,,,,,,,10.0,MG
J9306,"Injection, pertuzumab, 1 mg",1 MG,17.012,19.643,,,,,,Inflation-adjusted coinsurance,1.0,MG
J9307,Pralatrexate injection,1 MG,392.719,20.0,,,,,,,1.0,MG
J9308,"Injection, ramucirumab",5 MG,75.583,20.0,,,,,,,5.0,MG
J9309,"Inj, polatuzumab vedotin 1mg",1 MG,136.772,20.0,,,,,,,1.0,MG
J9311,"Inj rituximab, hyaluronidase",10 mg,36.874,20.0,,,,,,,10.0,MG
J9312,"Inj., rituximab, 10 mg",10 MG,74.765,20.0,,,,,,,10.0,MG
J9314,Inj pemetrexed (teva) 10mg,10 MG,15.334,18.896,,,,,,Inflation-adjusted coinsurance,10.0,MG
J9316,"Pertuzu, trastuzu, 10 mg",10 MG,60.96,20.0,,,,,,,10.0,MG
J9317,Sacituzumab govitecan-hziy,2.5 MG,36.982,20.0,,,,,,,2.5,MG
J9318,Inj romidepsin non-lyo 0.1mg,0.1 MG,28.517,20.0,,,,,,,0.1,MG
J9319,Inj romidepsin lyophil 0.1mg,0.1 MG,30.906,20.0,,,,,,,0.1,MG
J9321,Inj epcoritamab-bysp 0.16 mg,0.16 MG,56.805,20.0,,,,,,,0.16,MG
J9323,Inj pemetrexed ditromethamin,10 mg,0.125,20.0,,,,,,,10.0,MG
J9324,"Inj, pemrydi rtu, 10 mg",10 MG,73.318,20.0,,,,,,,10.0,MG
J9325,Inj talimogene laherparepvec,1 million PFU,73.939,18.879,,,,,,Inflation-adjusted coinsurance,1000000.0,PFU
J9326,Telisotuzumab vedotin-tllv,1 MG,145.871,20.0,,,,,,Added January 2026,1.0,MG
J9328,Temozolomide injection,1 MG,10.398,20.0,,,,,,,1.0,MG
J9329,"Inj, tislelizumab-jsgr",1 MG,58.371,20.0,,,,,,,1.0,MG
J9330,Temsirolimus injection,1 MG,20.316,20.0,,,,,,,1.0,MG
J9331,Inj sirolimus prot part 1 mg,1 MG,87.11,20.0,,,,,,,1.0,ML
J9332,Inj efgartigimod 2mg,2 MG,32.223,20.0,,,,,,,2.0,MG
J9333,Inj rozanolixizum-noli 1 mg,1 MG,23.376,20.0,,,,,,,1.0,MG
J9334,Inj efgart-alfa 2mg hya-qvfc,2 MG,34.117,20.0,,,,,,,2.0,MG
J9341,Inj thiotepa (tepylute) 1 mg,1 MG,38.55,20.0,,,,,,Added January 2026,1.0,MG
J9342,Inj thiotepa nos 1 mg,1 MG,8.863,20.0,,,,,,,1.0,MG
J9345,"Inj, retifanlimab-dlwr, 1 mg",1 MG,30.527,20.0,,,,,,,1.0,MG
J9347,"Inj, tremelimumab-actl, 1 mg",1 MG,143.018,20.0,,,,,,,1.0,MG
J9348,"Inj. naxitamab-gqgk, 1 mg",1 MG,686.083,20.0,,,,,,,1.0,MG
J9349,"Inj., tafasitamab-cxix",2 MG,14.242,20.0,,,,,,,2.0,MG
J9350,"Inj mosunetuzumab-axgb, 1 mg",1 MG,655.379,20.0,,,,,,,1.0,MG
J9351,Topotecan injection,0.1 MG,1.248,20.0,,,,,,,0.1,MG
J9352,Injection trabectedin 0.1mg,0.1 MG,391.07,20.0,,,,,,,0.1,MG
J9353,"Inj. margetuximab-cmkb, 5 mg",5 MG,53.749,19.662,,,,,,Inflation-adjusted coinsurance,5.0,MG
J9354,"Inj, ado-trastuzumab emt 1mg",1 MG,42.193,19.994,,,,,,Inflation-adjusted coinsurance,1.0,MG
J9355,Inj trastuzumab excl biosimi,10 MG,73.483,20.0,,,,,,,10.0,MG
J9356,"Inj. herceptin hylecta, 10mg",10 MG,61.068,20.0,,,,,,,10.0,MG
J9357,Valrubicin injection,200 MG,1303.342,20.0,,,,,,,200.0,MG
J9358,Inj fam-trastu deru-nxki 1mg,1 MG,31.3,19.167,,,,,,Inflation-adjusted coinsurance,1.0,MG
J9359,Inj lon tesirin-lpyl 0.075mg,0.075 MG,221.222,20.0,,,,,,,0.075,MG
J9360,Vinblastine sulfate inj,1 MG,5.183,20.0,,,,,,,1.0,MG
J9370,Vincristine sulfate 1 mg inj,1 MG,8.151,20.0,,,,,,,1.0,MG
J9380,Inj teclistamab cqyv 0.5 mg,0.5 MG,34.575,19.323,,,,,,Inflation-adjusted coinsurance,0.5,MG
J9381,Inj teplizumab mzwv 5 mcg,5 MCG,38.386,20.0,,,,,,,5.0,MCG
J9382,Inj zenocutuzumab-zbco 1 mg,1 MG,33.567,20.0,,,,,,,1.0,MG
J9390,Vinorelbine tartrate inj,10 MG,5.44,20.0,,,,,,,10.0,MG
J9394,"Inj, fulvestrant (fresenius)",25 MG,27.112,20.0,,,,,,,25.0,MG
J9395,"Injection, fulvestrant",25 MG,5.72,20.0,,,,,,,25.0,MG
J9400,"Inj, ziv-aflibercept, 1mg",1 MG,7.224,20.0,,,,,,AMP-based payment limit,1.0,MG
P9041,"Albumin (human),5%, 50ml",50 ML,10.615,20.0,,,95.0,10.615,,,50.0,ML
P9045,"Albumin (human), 5%, 250 ml",250 ML,53.077,20.0,,,95.0,53.077,,,250.0,ML
P9046,"Albumin (human), 25%, 20 ml",20 ML,21.231,20.0,,,95.0,21.231,,,20.0,ML
P9047,"Albumin (human), 25%, 50ml",50 ML,53.077,20.0,,,95.0,53.077,,,50.0,ML
Q0138,"Ferumoxytol, non-esrd",1 MG,0.36,20.0,,,,,,,1.0,MG
Q0139,"Ferumoxytol, esrd use",1 MG,0.36,20.0,,,,,,,1.0,MG
Q0162,Ondansetron oral,1 MG,0.014,20.0,,,,,,,1.0,MG
Q0167,Dronabinol 2.5mg oral,2.5 MG,1.352,20.0,,,,,,,1.0,ML
Q0224,"Inj, pemivibart, 4500 mg",4500 MG,7239.0,0.0,95.0,7239.0,,,,See COVID-19 vaccine pricing webpage for payment effective dates,4500.0,MG
Q0249,Tocilizumab for covid-19,1 MG,7.569,0.0,95.0,7.569,,,,See COVID-19 vaccine pricing webpage for payment effective dates,1.0,MG
Q2041,Axicabtagene ciloleucel car+,UP TO 200 MILLION CAR T CELLS,532192.241,18.35,,,,,,Inflation-adjusted coinsurance,,NAN
Q2042,Tisagenlecleucel car-pos t,up to 600 million CAR-positive viable T cells,566531.304,18.547,,,,,,Inflation-adjusted coinsurance,,NAN
Q2043,Sipuleucel-t auto cd54+,Per infusion (minimum 50 million cells),54404.108,20.0,,,,,,,,NAN
Q2050,Doxorubicin inj 10mg,10 MG,104.008,20.0,,,,,,,10.0,MG
Q2053,Brexucabtagene car pos t,UP TO 200 MILLION AUTOLOGOUS ANTI-CD19 CAR POSITIVE VIABLE T CELLS,489450.202,19.952,,,,,,Inflation-adjusted coinsurance,1.0,ML
Q2054,Lisocabtagene mara car pos t,"Up to 110 million CAR-positive viable T cells, per therapeutic dose",562201.242,18.308,,,,,,Inflation-adjusted coinsurance,,NAN
Q2055,Idecabtagene vicleucel car,UP TO 510 MILLION AUTOLOGOUS ANTI-BCMA CAR-POSITIVE VIABLE T CELLS,558081.726,18.857,,,,,,Inflation-adjusted coinsurance,,NAN
Q2056,Ciltacabtagene car-pos t,up to 100 million autologous b-cell maturation antigen (bcma) directed car-positive t cells,587649.574,18.291,,,,,,Inflation-adjusted coinsurance,,NAN
Q2057,Afamitresgene autoleucel,PER THERAPEUTIC DOSE,770620.0,20.0,,,,,,,,NAN
Q4074,Iloprost non-comp unit dose,UP TO 20 MCG,158.916,20.0,,,,,,,20.0,MCG
Q4081,"Epoetin alfa, 100 units esrd",100 UNITS,0.774,20.0,,,,,,,1.0,ML
Q5099,"Inj ustekinumab-stba, 1 mg",1 MG,11.853,20.0,,,,,,8% of reference add-on applied,1.0,MG
Q5100,"Inj ustekinumab-kfce, 1 mg",1 MG,24.684,20.0,,,,,,8% of reference add-on applied,1.0,MG
Q5101,"Injection, zarxio",1 MCG,0.349,20.0,,,,,,8% of reference add-on applied,1.0,MCG
Q5103,"Injection, inflectra",10 MG,24.22,20.0,,,,,,8% of reference add-on applied,10.0,MG
Q5104,"Injection, renflexis",10 MG,27.754,20.0,,,,,,8% of reference add-on applied,10.0,MG
Q5105,Inj retacrit esrd on dialysi,100 UNITS,0.757,20.0,,,,,,8% of reference add-on applied,1.0,ML
Q5106,Inj retacrit non-esrd use,1000 UNITS,7.567,20.0,,,,,,8% of reference add-on applied,1000.0,UNITS
Q5107,Inj mvasi 10 mg,10 MG,23.84,20.0,,,,,,8% of reference add-on applied,10.0,MG
Q5108,"Injection, fulphila",0.5 MG,98.871,20.0,,,,,,,0.5,MG
Q5110,Nivestym,1 MCG,0.275,20.0,,,,,,8% of reference add-on applied,1.0,MCG
Q5111,"Injection, udenyca 0.5 mg",0.5 MG,161.989,20.0,,,,,,,0.5,MG
Q5112,Inj ontruzant 10 mg,10 MG,27.272,20.0,,,,,,8% of reference add-on applied,10.0,MG
Q5113,Inj herzuma 10 mg,10 MG,55.431,20.0,,,,,,8% of reference add-on applied,10.0,MG
Q5114,Inj ogivri 10 mg,10 MG,37.709,20.0,,,,,,8% of reference add-on applied,10.0,MG
Q5115,Inj truxima 10 mg,10 MG,30.145,20.0,,,,,,8% of reference add-on applied,10.0,MG
Q5116,"Inj., trazimera, 10 mg",10 MG,8.205,20.0,,,,,,8% of reference add-on applied,10.0,MG
Q5117,"Inj., kanjinti, 10 mg",10 MG,51.439,20.0,,,,,,8% of reference add-on applied,10.0,MG
Q5118,"Inj., zirabev, 10 mg",10 MG,25.799,20.0,,,,,,8% of reference add-on applied,10.0,MG
Q5119,"Inj ruxience, 10 mg",10 MG,13.27,20.0,,,,,,8% of reference add-on applied,10.0,MG
Q5120,Inj pegfilgrastim-bmez 0.5mg,0.5 MG,119.294,20.0,,,,,,8% of reference add-on applied,0.5,MG
Q5121,"Inj. avsola, 10 mg",10 MG,23.811,20.0,,,,,,8% of reference add-on applied,10.0,MG
Q5122,"Inj, nyvepria",0.5 MG,133.054,20.0,,,,,,,0.5,MG
Q5123,"Inj. riabni, 10 mg",10 MG,20.896,20.0,,,,,,8% of reference add-on applied,10.0,MG
Q5124,"Inj. byooviz, 0.1 mg",0.1 MG,60.215,20.0,,,,,,8% of reference add-on applied,0.1,MG
Q5125,"Inj, releuko 1 mcg",1 MCG,0.338,20.0,,,,,,8% of reference add-on applied,1.0,MCG
Q5126,Inj alymsys 10 mg,10 MG,33.012,20.0,,,,,,8% of reference add-on applied,10.0,MG
Q5127,"Inj, stimufend, 0.5 mg",0.5 MG,147.236,20.0,,,,,,,0.5,MG
Q5128,"Inj, cimerli, 0.1 mg",0.1 MG,83.34,20.0,,,,,,,0.1,MG
Q5129,"Inj, vegzelma, 10 mg",10 MG,38.158,20.0,,,,,,8% of reference add-on applied,10.0,MG
Q5130,"Inj, fylnetra, 0.5 mg",0.5 MG,127.227,20.0,,,,,,,0.5,MG
Q5133,"Inj, tofidence, 1 mg",1 MG,5.585,20.0,,,,,,8% of reference add-on applied,1.0,MG
Q5135,"Inj, tyenne, 1 mg",1 MG,4.194,20.0,,,,,,8% of reference add-on applied,1.0,MG
Q5136,"Inj. denosumab-bbdz, 1 mg",1 MG,28.23,20.0,,,,,,Added January 2026 - 8% of reference add-on applied,1.0,MG
Q5138,"Inj, wezlana, iv, 1 mg",1 MG,11.642,20.0,,,,,,8% of reference add-on applied,1.0,MG
Q5146,"Inj, hercessi, 10 mg",10 MG,37.151,20.0,,,,,,8% of reference add-on applied,10.0,MG
Q5147,"Inj, aflibercept-ayyh, 1 mg",1 MG,866.203,20.0,,,,,,,1.0,MG
Q5148,"Inj, nyposi 1 mcg",1 MCG,0.997,20.0,,,,,,Added January 2026,1.0,MCG
Q5151,"Inj, eculizumab-aagh, 2 mg",2 MG,31.672,20.0,,,,,,Added January 2026 - 8% of reference add-on applied,2.0,MG
Q5152,"Inj, eculizumab-aeeb, 2 mg",2 MG,42.347,20.0,,,,,,Added January 2026 - 8% of reference add-on applied,2.0,MG
Q9950,Inj sulf hexa lipid microsph,1 ML,18.166,20.0,,,,,,,1.0,ML
Q9956,"Inj octafluoropropane mic,ml",1 ML,40.207,20.0,,,,,,,1.0,ML
Q9957,"Inj perflutren lip micros,ml",1 ML,40.207,20.0,,,,,,,1.0,ML
Q9958,"Hocm <=149 mg/ml iodine, 1ml",1 ML,0.074,20.0,,,,,,,1.0,ML
Q9961,"Hocm 250-299mg/ml iodine,1ml",1 ML,0.255,20.0,,,,,,,1.0,ML
Q9963,"Hocm 350-399mg/ml iodine,1ml",1 ML,0.223,20.0,,,,,,,1.0,ML
Q9965,"Locm 100-199mg/ml iodine,1ml",1 ML,1.036,20.0,,,,,,,1.0,ML
Q9966,"Locm 200-299mg/ml iodine,1ml",1 ML,0.401,20.0,,,,,,,1.0,ML
Q9967,"Locm 300-399mg/ml iodine,1ml",1 ML,0.149,20.0,,,,,,,1.0,ML
Q9991,Buprenorph xr 100 mg or less,Less than or equal to 100 MG,1998.533,20.0,,,,,,,100.0,MG
Q9992,Buprenorphine xr over 100 mg,Greater than 100 MG,1998.533,20.0,,,,,,,100.0,MG
Q9997,Ustekinumab-ttwe iv inj 1 mg,1 MG,8.268,20.0,,,,,,8% of reference add-on applied,1.0,MG
Q9998,"Inj ustekinumab-aekn, 1 mg",1 MG,43.201,20.0,,,,,,8% of reference add-on applied,1.0,MG
Q9999,Inj ustekinumab-aauz 1 mg,1 MG,32.957,20.0,,,,,,8% of reference add-on applied,1.0,MG
